Size, Type, Time
2000000, "Sequential", 0.314981
2000000, "Parallel", 0.305152
2000000, "Built-in", 0.347487
2000000, "Sequential", 0.329690
2000000, "Parallel", 0.307531
2000000, "Built-in", 0.318863
2000000, "Sequential", 0.340440
2000000, "Parallel", 0.304647
2000000, "Built-in", 0.298532
2000000, "Sequential", 0.329255
2000000, "Parallel", 0.320148
2000000, "Built-in", 0.247745
2000000, "Sequential", 0.340730
2000000, "Parallel", 0.308334
2000000, "Built-in", 0.264654
2000000, "Sequential", 0.323001
2000000, "Parallel", 0.292999
2000000, "Built-in", 0.287550
2000000, "Sequential", 0.324635
2000000, "Parallel", 0.300714
2000000, "Built-in", 0.257823
2000000, "Sequential", 0.347825
2000000, "Parallel", 0.293482
2000000, "Built-in", 0.258961
2000000, "Sequential", 0.326011
2000000, "Parallel", 0.305204
2000000, "Built-in", 0.297059
2000000, "Sequential", 0.331122
2000000, "Parallel", 0.295275
2000000, "Built-in", 0.264881
2000000, "Sequential", 0.314468
2000000, "Parallel", 0.298849
2000000, "Built-in", 0.319489
2000000, "Sequential", 0.342480
2000000, "Parallel", 0.314508
2000000, "Built-in", 0.262418
2000000, "Sequential", 0.318926
2000000, "Parallel", 0.301756
2000000, "Built-in", 0.260949
2000000, "Sequential", 0.322975
2000000, "Parallel", 0.292185
2000000, "Built-in", 0.266784
2000000, "Sequential", 0.321238
2000000, "Parallel", 0.297101
2000000, "Built-in", 0.284668
2000000, "Sequential", 0.339603
2000000, "Parallel", 0.301463
2000000, "Built-in", 0.282762
2000000, "Sequential", 0.334863
2000000, "Parallel", 0.310112
2000000, "Built-in", 0.281356
2000000, "Sequential", 0.349918
2000000, "Parallel", 0.331576
2000000, "Built-in", 0.265403
2000000, "Sequential", 0.338312
2000000, "Parallel", 0.300331
2000000, "Built-in", 0.296844
2000000, "Sequential", 0.327650
2000000, "Parallel", 0.304310
2000000, "Built-in", 0.258047
10000, "Sequential", 0.000990
10000, "Parallel", 0.058184
10000, "Built-in", 0.001169
10000, "Sequential", 0.001132
10000, "Parallel", 0.057690
10000, "Built-in", 0.000874
10000, "Sequential", 0.001191
10000, "Parallel", 0.054779
10000, "Built-in", 0.000990
10000, "Sequential", 0.001178
10000, "Parallel", 0.060109
10000, "Built-in", 0.001211
10000, "Sequential", 0.001163
10000, "Parallel", 0.050607
10000, "Built-in", 0.000873
10000, "Sequential", 0.001155
10000, "Parallel", 0.063295
10000, "Built-in", 0.000862
10000, "Sequential", 0.001153
10000, "Parallel", 0.057617
10000, "Built-in", 0.000859
10000, "Sequential", 0.001335
10000, "Parallel", 0.058014
10000, "Built-in", 0.000863
10000, "Sequential", 0.001159
10000, "Parallel", 0.057344
10000, "Built-in", 0.000875
10000, "Sequential", 0.001176
10000, "Parallel", 0.052575
10000, "Built-in", 0.000910
10000, "Sequential", 0.001151
10000, "Parallel", 0.050166
10000, "Built-in", 0.000876
10000, "Sequential", 0.001195
10000, "Parallel", 0.059465
10000, "Built-in", 0.000931
10000, "Sequential", 0.001378
10000, "Parallel", 0.054609
10000, "Built-in", 0.000879
10000, "Sequential", 0.001141
10000, "Parallel", 0.057179
10000, "Built-in", 0.000899
10000, "Sequential", 0.001214
10000, "Parallel", 0.053854
10000, "Built-in", 0.000863
10000, "Sequential", 0.001200
10000, "Parallel", 0.054343
10000, "Built-in", 0.000896
10000, "Sequential", 0.001147
10000, "Parallel", 0.045059
10000, "Built-in", 0.001051
10000, "Sequential", 0.001171
10000, "Parallel", 0.055895
10000, "Built-in", 0.000920
10000, "Sequential", 0.001174
10000, "Parallel", 0.043567
10000, "Built-in", 0.000905
10000, "Sequential", 0.001175
10000, "Parallel", 0.048498
10000, "Built-in", 0.000879
100000, "Sequential", 0.014463
100000, "Parallel", 0.059064
100000, "Built-in", 0.012842
100000, "Sequential", 0.015928
100000, "Parallel", 0.060483
100000, "Built-in", 0.011023
100000, "Sequential", 0.014087
100000, "Parallel", 0.066840
100000, "Built-in", 0.011372
100000, "Sequential", 0.014304
100000, "Parallel", 0.075854
100000, "Built-in", 0.010887
100000, "Sequential", 0.013506
100000, "Parallel", 0.065545
100000, "Built-in", 0.010987
100000, "Sequential", 0.013097
100000, "Parallel", 0.072102
100000, "Built-in", 0.011395
100000, "Sequential", 0.012876
100000, "Parallel", 0.074159
100000, "Built-in", 0.011067
100000, "Sequential", 0.014434
100000, "Parallel", 0.062858
100000, "Built-in", 0.011418
100000, "Sequential", 0.013899
100000, "Parallel", 0.066752
100000, "Built-in", 0.011200
100000, "Sequential", 0.014592
100000, "Parallel", 0.075599
100000, "Built-in", 0.013669
100000, "Sequential", 0.014683
100000, "Parallel", 0.079868
100000, "Built-in", 0.013161
100000, "Sequential", 0.014878
100000, "Parallel", 0.074717
100000, "Built-in", 0.012248
100000, "Sequential", 0.014626
100000, "Parallel", 0.081018
100000, "Built-in", 0.012436
100000, "Sequential", 0.015044
100000, "Parallel", 0.068974
100000, "Built-in", 0.013337
100000, "Sequential", 0.014463
100000, "Parallel", 0.070950
100000, "Built-in", 0.010990
100000, "Sequential", 0.014688
100000, "Parallel", 0.079685
100000, "Built-in", 0.013062
100000, "Sequential", 0.017017
100000, "Parallel", 0.096350
100000, "Built-in", 0.014159
100000, "Sequential", 0.017772
100000, "Parallel", 0.074404
100000, "Built-in", 0.011082
100000, "Sequential", 0.015600
100000, "Parallel", 0.120643
100000, "Built-in", 0.018334
100000, "Sequential", 0.014458
100000, "Parallel", 0.083814
100000, "Built-in", 0.014714
50000, "Sequential", 0.007977
50000, "Parallel", 0.067402
50000, "Built-in", 0.005679
50000, "Sequential", 0.007158
50000, "Parallel", 0.066728
50000, "Built-in", 0.005235
50000, "Sequential", 0.007325
50000, "Parallel", 0.069474
50000, "Built-in", 0.005412
50000, "Sequential", 0.007015
50000, "Parallel", 0.069362
50000, "Built-in", 0.005719
50000, "Sequential", 0.006906
50000, "Parallel", 0.083130
50000, "Built-in", 0.005170
50000, "Sequential", 0.006803
50000, "Parallel", 0.062490
50000, "Built-in", 0.005770
50000, "Sequential", 0.007904
50000, "Parallel", 0.079969
50000, "Built-in", 0.005235
50000, "Sequential", 0.006778
50000, "Parallel", 0.072966
50000, "Built-in", 0.005442
50000, "Sequential", 0.007017
50000, "Parallel", 0.071118
50000, "Built-in", 0.005218
50000, "Sequential", 0.007799
50000, "Parallel", 0.066783
50000, "Built-in", 0.005184
50000, "Sequential", 0.006972
50000, "Parallel", 0.084413
50000, "Built-in", 0.005591
50000, "Sequential", 0.008632
50000, "Parallel", 0.083170
50000, "Built-in", 0.005204
50000, "Sequential", 0.007036
50000, "Parallel", 0.068883
50000, "Built-in", 0.005185
50000, "Sequential", 0.006874
50000, "Parallel", 0.063211
50000, "Built-in", 0.005094
50000, "Sequential", 0.007306
50000, "Parallel", 0.057949
50000, "Built-in", 0.005146
50000, "Sequential", 0.007022
50000, "Parallel", 0.057908
50000, "Built-in", 0.005577
50000, "Sequential", 0.006981
50000, "Parallel", 0.051014
50000, "Built-in", 0.005003
50000, "Sequential", 0.006673
50000, "Parallel", 0.052939
50000, "Built-in", 0.005924
50000, "Sequential", 0.008124
50000, "Parallel", 0.049591
50000, "Built-in", 0.005305
50000, "Sequential", 0.006694
50000, "Parallel", 0.048103
50000, "Built-in", 0.005196
200000, "Sequential", 0.030999
200000, "Parallel", 0.075144
200000, "Built-in", 0.023532
200000, "Sequential", 0.027064
200000, "Parallel", 0.070731
200000, "Built-in", 0.023864
200000, "Sequential", 0.032113
200000, "Parallel", 0.076012
200000, "Built-in", 0.025479
200000, "Sequential", 0.029808
200000, "Parallel", 0.076853
200000, "Built-in", 0.025309
200000, "Sequential", 0.029787
200000, "Parallel", 0.079574
200000, "Built-in", 0.024989
200000, "Sequential", 0.029335
200000, "Parallel", 0.070396
200000, "Built-in", 0.024075
200000, "Sequential", 0.029485
200000, "Parallel", 0.074358
200000, "Built-in", 0.028560
200000, "Sequential", 0.029469
200000, "Parallel", 0.072787
200000, "Built-in", 0.023342
200000, "Sequential", 0.029907
200000, "Parallel", 0.067829
200000, "Built-in", 0.022867
200000, "Sequential", 0.028732
200000, "Parallel", 0.070362
200000, "Built-in", 0.022309
200000, "Sequential", 0.033408
200000, "Parallel", 0.120658
200000, "Built-in", 0.024523
200000, "Sequential", 0.031105
200000, "Parallel", 0.095007
200000, "Built-in", 0.026094
200000, "Sequential", 0.030453
200000, "Parallel", 0.082840
200000, "Built-in", 0.024841
200000, "Sequential", 0.030556
200000, "Parallel", 0.075984
200000, "Built-in", 0.023798
200000, "Sequential", 0.028560
200000, "Parallel", 0.075328
200000, "Built-in", 0.024693
200000, "Sequential", 0.030299
200000, "Parallel", 0.092053
200000, "Built-in", 0.027264
200000, "Sequential", 0.030776
200000, "Parallel", 0.088525
200000, "Built-in", 0.043498
200000, "Sequential", 0.043737
200000, "Parallel", 0.074374
200000, "Built-in", 0.024782
200000, "Sequential", 0.030385
200000, "Parallel", 0.093488
200000, "Built-in", 0.027316
200000, "Sequential", 0.031347
200000, "Parallel", 0.073180
200000, "Built-in", 0.023842
5000, "Sequential", 0.000528
5000, "Parallel", 0.040081
5000, "Built-in", 0.000408
5000, "Sequential", 0.000529
5000, "Parallel", 0.047033
5000, "Built-in", 0.000437
5000, "Sequential", 0.000546
5000, "Parallel", 0.055566
5000, "Built-in", 0.000416
5000, "Sequential", 0.000541
5000, "Parallel", 0.048106
5000, "Built-in", 0.000435
5000, "Sequential", 0.000529
5000, "Parallel", 0.051207
5000, "Built-in", 0.000409
5000, "Sequential", 0.000539
5000, "Parallel", 0.040661
5000, "Built-in", 0.000454
5000, "Sequential", 0.000561
5000, "Parallel", 0.049009
5000, "Built-in", 0.000415
5000, "Sequential", 0.000527
5000, "Parallel", 0.049248
5000, "Built-in", 0.000406
5000, "Sequential", 0.000583
5000, "Parallel", 0.045007
5000, "Built-in", 0.000446
5000, "Sequential", 0.000535
5000, "Parallel", 0.041641
5000, "Built-in", 0.000408
5000, "Sequential", 0.000537
5000, "Parallel", 0.046201
5000, "Built-in", 0.000422
5000, "Sequential", 0.000533
5000, "Parallel", 0.039921
5000, "Built-in", 0.000462
5000, "Sequential", 0.000535
5000, "Parallel", 0.042887
5000, "Built-in", 0.000428
5000, "Sequential", 0.000559
5000, "Parallel", 0.038844
5000, "Built-in", 0.000404
5000, "Sequential", 0.000532
5000, "Parallel", 0.045890
5000, "Built-in", 0.000406
5000, "Sequential", 0.000596
5000, "Parallel", 0.038600
5000, "Built-in", 0.000429
5000, "Sequential", 0.000551
5000, "Parallel", 0.037819
5000, "Built-in", 0.000406
5000, "Sequential", 0.000540
5000, "Parallel", 0.046711
5000, "Built-in", 0.000469
5000, "Sequential", 0.000537
5000, "Parallel", 0.058671
5000, "Built-in", 0.000478
5000, "Sequential", 0.000536
5000, "Parallel", 0.043904
5000, "Built-in", 0.000407
1000, "Sequential", 0.000088
1000, "Parallel", 0.031545
1000, "Built-in", 0.000084
1000, "Sequential", 0.000100
1000, "Parallel", 0.032276
1000, "Built-in", 0.000080
1000, "Sequential", 0.000087
1000, "Parallel", 0.027616
1000, "Built-in", 0.000084
1000, "Sequential", 0.000088
1000, "Parallel", 0.029563
1000, "Built-in", 0.000088
1000, "Sequential", 0.000089
1000, "Parallel", 0.034834
1000, "Built-in", 0.000080
1000, "Sequential", 0.000089
1000, "Parallel", 0.027252
1000, "Built-in", 0.000187
1000, "Sequential", 0.000089
1000, "Parallel", 0.026947
1000, "Built-in", 0.000084
1000, "Sequential", 0.000100
1000, "Parallel", 0.027980
1000, "Built-in", 0.000092
1000, "Sequential", 0.000089
1000, "Parallel", 0.036296
1000, "Built-in", 0.000081
1000, "Sequential", 0.000087
1000, "Parallel", 0.025109
1000, "Built-in", 0.000081
1000, "Sequential", 0.000088
1000, "Parallel", 0.032719
1000, "Built-in", 0.000123
1000, "Sequential", 0.000090
1000, "Parallel", 0.033834
1000, "Built-in", 0.000077
1000, "Sequential", 0.000094
1000, "Parallel", 0.038607
1000, "Built-in", 0.000100
1000, "Sequential", 0.000091
1000, "Parallel", 0.032315
1000, "Built-in", 0.000078
1000, "Sequential", 0.000089
1000, "Parallel", 0.029589
1000, "Built-in", 0.000082
1000, "Sequential", 0.000091
1000, "Parallel", 0.026034
1000, "Built-in", 0.000081
1000, "Sequential", 0.000090
1000, "Parallel", 0.040271
1000, "Built-in", 0.000081
1000, "Sequential", 0.000091
1000, "Parallel", 0.031022
1000, "Built-in", 0.000085
1000, "Sequential", 0.000091
1000, "Parallel", 0.034807
1000, "Built-in", 0.000090
1000, "Sequential", 0.000089
1000, "Parallel", 0.036386
1000, "Built-in", 0.000081
100, "Sequential", 0.000007
100, "Parallel", 0.011015
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.007702
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.008446
100, "Built-in", 0.000005
100, "Sequential", 0.000007
100, "Parallel", 0.007251
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.009417
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.008774
100, "Built-in", 0.000005
100, "Sequential", 0.000006
100, "Parallel", 0.006873
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.009618
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.008889
100, "Built-in", 0.000005
100, "Sequential", 0.000007
100, "Parallel", 0.008022
100, "Built-in", 0.000005
100, "Sequential", 0.000007
100, "Parallel", 0.007619
100, "Built-in", 0.000007
100, "Sequential", 0.000006
100, "Parallel", 0.009434
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.007491
100, "Built-in", 0.000005
100, "Sequential", 0.000006
100, "Parallel", 0.008188
100, "Built-in", 0.000005
100, "Sequential", 0.000006
100, "Parallel", 0.011335
100, "Built-in", 0.000005
100, "Sequential", 0.000009
100, "Parallel", 0.009723
100, "Built-in", 0.000005
100, "Sequential", 0.000007
100, "Parallel", 0.009095
100, "Built-in", 0.000005
100, "Sequential", 0.000006
100, "Parallel", 0.009652
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.009410
100, "Built-in", 0.000007
100, "Sequential", 0.000007
100, "Parallel", 0.009148
100, "Built-in", 0.000005
1000000, "Sequential", 0.169485
1000000, "Parallel", 0.160485
1000000, "Built-in", 0.145784
1000000, "Sequential", 0.170410
1000000, "Parallel", 0.173987
1000000, "Built-in", 0.130795
1000000, "Sequential", 0.157148
1000000, "Parallel", 0.180025
1000000, "Built-in", 0.127519
1000000, "Sequential", 0.155133
1000000, "Parallel", 0.169565
1000000, "Built-in", 0.135187
1000000, "Sequential", 0.155120
1000000, "Parallel", 0.167727
1000000, "Built-in", 0.134858
1000000, "Sequential", 0.161994
1000000, "Parallel", 0.166123
1000000, "Built-in", 0.128850
1000000, "Sequential", 0.154973
1000000, "Parallel", 0.172631
1000000, "Built-in", 0.127232
1000000, "Sequential", 0.155448
1000000, "Parallel", 0.163376
1000000, "Built-in", 0.129192
1000000, "Sequential", 0.155248
1000000, "Parallel", 0.160541
1000000, "Built-in", 0.129780
1000000, "Sequential", 0.157446
1000000, "Parallel", 0.156208
1000000, "Built-in", 0.123798
1000000, "Sequential", 0.162241
1000000, "Parallel", 0.158306
1000000, "Built-in", 0.125763
1000000, "Sequential", 0.187885
1000000, "Parallel", 0.167633
1000000, "Built-in", 0.126251
1000000, "Sequential", 0.161218
1000000, "Parallel", 0.168304
1000000, "Built-in", 0.125855
1000000, "Sequential", 0.159775
1000000, "Parallel", 0.157847
1000000, "Built-in", 0.146128
1000000, "Sequential", 0.160676
1000000, "Parallel", 0.169134
1000000, "Built-in", 0.134406
1000000, "Sequential", 0.162708
1000000, "Parallel", 0.160101
1000000, "Built-in", 0.136849
1000000, "Sequential", 0.165206
1000000, "Parallel", 0.187243
1000000, "Built-in", 0.135343
1000000, "Sequential", 0.162327
1000000, "Parallel", 0.220065
1000000, "Built-in", 0.130225
1000000, "Sequential", 0.161282
1000000, "Parallel", 0.168811
1000000, "Built-in", 0.131354
1000000, "Sequential", 0.159101
1000000, "Parallel", 0.163388
1000000, "Built-in", 0.126244
500, "Sequential", 0.000037
500, "Parallel", 0.023617
500, "Built-in", 0.000043
500, "Sequential", 0.000040
500, "Parallel", 0.020379
500, "Built-in", 0.000066
500, "Sequential", 0.000041
500, "Parallel", 0.025623
500, "Built-in", 0.000041
500, "Sequential", 0.000041
500, "Parallel", 0.020306
500, "Built-in", 0.000042
500, "Sequential", 0.000041
500, "Parallel", 0.018184
500, "Built-in", 0.000042
500, "Sequential", 0.000040
500, "Parallel", 0.025425
500, "Built-in", 0.000040
500, "Sequential", 0.000042
500, "Parallel", 0.021779
500, "Built-in", 0.000051
500, "Sequential", 0.000041
500, "Parallel", 0.025701
500, "Built-in", 0.000042
500, "Sequential", 0.000041
500, "Parallel", 0.025361
500, "Built-in", 0.000045
500, "Sequential", 0.000041
500, "Parallel", 0.019800
500, "Built-in", 0.000043
500, "Sequential", 0.000041
500, "Parallel", 0.021893
500, "Built-in", 0.000044
500, "Sequential", 0.000041
500, "Parallel", 0.021606
500, "Built-in", 0.000044
500, "Sequential", 0.000040
500, "Parallel", 0.020601
500, "Built-in", 0.000043
500, "Sequential", 0.000041
500, "Parallel", 0.025057
500, "Built-in", 0.000041
500, "Sequential", 0.000041
500, "Parallel", 0.025554
500, "Built-in", 0.000043
500, "Sequential", 0.000041
500, "Parallel", 0.022805
500, "Built-in", 0.000043
500, "Sequential", 0.000040
500, "Parallel", 0.022351
500, "Built-in", 0.000041
500, "Sequential", 0.000040
500, "Parallel", 0.023015
500, "Built-in", 0.000042
500, "Sequential", 0.000041
500, "Parallel", 0.019789
500, "Built-in", 0.000049
500, "Sequential", 0.000041
500, "Parallel", 0.022337
500, "Built-in", 0.000043
500000, "Sequential", 0.074530
500000, "Parallel", 0.100380
500000, "Built-in", 0.058848
500000, "Sequential", 0.076534
500000, "Parallel", 0.104316
500000, "Built-in", 0.063982
500000, "Sequential", 0.074747
500000, "Parallel", 0.103462
500000, "Built-in", 0.058920
500000, "Sequential", 0.071935
500000, "Parallel", 0.103122
500000, "Built-in", 0.064255
500000, "Sequential", 0.077241
500000, "Parallel", 0.121439
500000, "Built-in", 0.065857
500000, "Sequential", 0.077839
500000, "Parallel", 0.108694
500000, "Built-in", 0.067529
500000, "Sequential", 0.078471
500000, "Parallel", 0.107731
500000, "Built-in", 0.065665
500000, "Sequential", 0.080822
500000, "Parallel", 0.116473
500000, "Built-in", 0.065188
500000, "Sequential", 0.078634
500000, "Parallel", 0.104187
500000, "Built-in", 0.062955
500000, "Sequential", 0.073403
500000, "Parallel", 0.099759
500000, "Built-in", 0.065659
500000, "Sequential", 0.074801
500000, "Parallel", 0.114199
500000, "Built-in", 0.070285
500000, "Sequential", 0.075470
500000, "Parallel", 0.104458
500000, "Built-in", 0.065833
500000, "Sequential", 0.077203
500000, "Parallel", 0.111877
500000, "Built-in", 0.066458
500000, "Sequential", 0.076752
500000, "Parallel", 0.111102
500000, "Built-in", 0.061150
500000, "Sequential", 0.074164
500000, "Parallel", 0.095097
500000, "Built-in", 0.064731
500000, "Sequential", 0.075613
500000, "Parallel", 0.105248
500000, "Built-in", 0.058336
500000, "Sequential", 0.072026
500000, "Parallel", 0.106533
500000, "Built-in", 0.058214
500000, "Sequential", 0.073172
500000, "Parallel", 0.103857
500000, "Built-in", 0.057534
500000, "Sequential", 0.074850
500000, "Parallel", 0.114727
500000, "Built-in", 0.100784
500000, "Sequential", 0.083389
500000, "Parallel", 0.109536
500000, "Built-in", 0.064784
